tconst,titleType,title,year,runtimeMinutes,genres,averageRating,actors,directors,combined_features
tt7989204,movie,P Rell: Crucifix,2013,5.0,['Music'],10.0,"['Alessio Giorgetti', 'Marcus Shamgar Haywood']",['Dylan Verrechia'],P Rell: Crucifix Music Dylan Verrechia Alessio Giorgetti Marcus Shamgar Haywood
tt7889246,movie,Chitram Cheppina Katha,2014,,[],9.9,['Uday Kiran'],"['Mohan Alrk', 'Srinu Babu Patalna']",Chitram Cheppina Katha  Mohan Alrk Srinu Babu Patalna Uday Kiran
tt2906986,movie,Pimpalation: Return of the Trill,2006,60.0,"['Documentary', 'Music']",9.9,['Mike Jones'],['Ariel Santschi'],Pimpalation: Return of the Trill Documentary Music Ariel Santschi Mike Jones
tt4332930,movie,Tujhko Pukare,2005,,"['Action', 'Crime', 'Drama']",9.9,"['Kamal Adib', 'Vinay Anand', 'Mushtaq Khan', 'Kiran Kumar', 'Anurag Sharma', 'Manish Wadhwa']",['Vinod Kumar Singh'],Tujhko Pukare Action Crime Drama Vinod Kumar Singh Kamal Adib Vinay Anand Mushtaq Khan Kiran Kumar Anurag Sharma Manish Wadhwa
tt4211854,movie,You Have His Eyes,2014,90.0,['Documentary'],9.9,[],['Christopher Thomas Wilson'],You Have His Eyes Documentary Christopher Thomas Wilson 
tt0803072,movie,Big Bones - Big Business,2004,59.0,['Documentary'],9.9,['Kova Tilavpur'],['Ekaterina Eremenko'],Big Bones - Big Business Documentary Ekaterina Eremenko Kova Tilavpur
tt1587194,movie,Kot ptic,2006,154.0,['Documentary'],9.9,[],['Nejc Gazvoda'],Kot ptic Documentary Nejc Gazvoda 
tt5342570,movie,The Truth on Trial,2016,,['Drama'],9.9,"['Barrie Brown', ""Marlo d'Angelo Harper"", 'Stuart Elzy', 'Roland Matthews']",['Ms. Michelle'],The Truth on Trial Drama Ms. Michelle Barrie Brown Marlo d'Angelo Harper Stuart Elzy Roland Matthews
tt5390098,movie,The Paternal Bond: Barbary Macaques,2015,59.0,['Documentary'],9.9,[],"['Masahiro Hayakawa', 'Michael J. Sanderson']",The Paternal Bond: Barbary Macaques Documentary Masahiro Hayakawa Michael J. Sanderson 
tt7156934,movie,Independent Roads,2012,58.0,['Adventure'],9.9,['Eiji Leon Lee'],['Lucas Estevan Soares'],Independent Roads Adventure Lucas Estevan Soares Eiji Leon Lee
tt0308447,movie,Juventud en drogas,1996,,"['Crime', 'Drama']",9.9,"['Valentín Trujillo', 'Raúl Araiza', 'Héctor Reynoso', 'Esteban Ortíz', 'Rogelio Guerrero', 'Antonio Gozat']",['Enrique Murillo'],Juventud en drogas Crime Drama Enrique Murillo Valentín Trujillo Raúl Araiza Héctor Reynoso Esteban Ortíz Rogelio Guerrero Antonio Gozat
tt1427969,movie,The Lost Spirits,2009,53.0,['Documentary'],9.9,,,The Lost Spirits Documentary  
tt14231578,movie,Duti Mon,2011,,['Drama'],9.9,"['Ashok Kumar', 'Ranjit Mallick', 'Rohit']",['Subhash Sen'],Duti Mon Drama Subhash Sen Ashok Kumar Ranjit Mallick Rohit
tt1412450,movie,Hearing Everett: The Rancho Sordo Mudo Story,2008,67.0,['Documentary'],9.9,['Tony Plana'],['T.C. Johnstone'],Hearing Everett: The Rancho Sordo Mudo Story Documentary T.C. Johnstone Tony Plana
tt2593350,movie,The Road to Valhalla,2013,,['Documentary'],9.9,"['Buck Taylor', 'Seth Edens', 'Mark Mannette', 'Deb Goodrich', 'Russell W. Dodd', 'Richard Sobek', 'Tom Penning', 'Tom Leahy', 'Orin Friesen', 'Kirk Shapland']",['Ken Spurgeon'],The Road to Valhalla Documentary Ken Spurgeon Buck Taylor Seth Edens Mark Mannette Deb Goodrich Russell W. Dodd Richard Sobek Tom Penning Tom Leahy Orin Friesen Kirk Shapland
tt15127166,movie,Wolf Song: The Movie,2016,95.0,[],9.9,"['Bloodstainedfur', 'Magicofwolf', 'Magicofwolf', 'Magicofwolf', 'Cougar', 'Cody Hart', 'Cody Hart', 'ItsBeastlyTime', 'ItsBeastlyTime', 'Taylor Bryce', 'Gabe Van Helsing', 'Martin Olivares', 'Edward James', 'Edward James']",['Kathryn Johnston'],Wolf Song: The Movie  Kathryn Johnston Bloodstainedfur Magicofwolf Magicofwolf Magicofwolf Cougar Cody Hart Cody Hart ItsBeastlyTime ItsBeastlyTime Taylor Bryce Gabe Van Helsing Martin Olivares Edward James Edward James
tt5750608,movie,The Lost Ones,2016,100.0,['Drama'],9.8,"['Björn Andrésen', 'Norbert Badocha', 'Ruben Bay Mogensen', 'Christian Blendstrup Andersen', 'Vincent Boserup Henriksen', 'Thomas Chaanhing', 'Caspar Samsø Clausen', 'Lior Cohen']",['Dariusz Steiness'],The Lost Ones Drama Dariusz Steiness Björn Andrésen Norbert Badocha Ruben Bay Mogensen Christian Blendstrup Andersen Vincent Boserup Henriksen Thomas Chaanhing Caspar Samsø Clausen Lior Cohen
tt0156768,movie,Manik Raitong,1984,149.0,[],9.8,"['Benjamin Khongnor', 'Diamond Matthew', 'William Rynjhah', 'Gillbert Synnah']",['Ardhendu Bhattacharya'],Manik Raitong  Ardhendu Bhattacharya Benjamin Khongnor Diamond Matthew William Rynjhah Gillbert Synnah
tt10423548,movie,Apoteose,2009,66.0,['Drama'],9.8,"['Ávila Costa', 'Agostinho Palos', 'José Santana']",['António Borges Correia'],Apoteose Drama António Borges Correia Ávila Costa Agostinho Palos José Santana
tt5870798,movie,Somebody's Daughter,2004,76.0,['Drama'],9.8,"['Andrew Adamson', 'Dave Cassidy', 'Cathal Costello', 'Peter Delaney', 'Michael Delohery', 'Michael Flanagan']",['Robert Cunningham'],Somebody's Daughter Drama Robert Cunningham Andrew Adamson Dave Cassidy Cathal Costello Peter Delaney Michael Delohery Michael Flanagan
tt1053817,movie,Buried in Tucson,2007,70.0,"['Adventure', 'Drama']",9.8,"['Christopher Dallton', 'Joe Lorenzo', 'Samuel Hernández', 'Greg Farkas', 'Jeff Gallea', 'Mike Collins', 'Steve Congdon']",['Jeff Gallea'],Buried in Tucson Adventure Drama Jeff Gallea Christopher Dallton Joe Lorenzo Samuel Hernández Greg Farkas Jeff Gallea Mike Collins Steve Congdon
tt4250488,movie,Bringing the Fallen Home,2014,,['Documentary'],9.8,['Craig Melvin'],['Cliff Springs'],Bringing the Fallen Home Documentary Cliff Springs Craig Melvin
tt1199551,movie,Cuando volveras,2008,80.0,['Drama'],9.8,"['Ricky Brava', 'Patricio Godoy', 'Angel Zermen']",['Emilio Vega'],Cuando volveras Drama Emilio Vega Ricky Brava Patricio Godoy Angel Zermen
tt5005448,movie,Silhouette Secrets,2015,65.0,['Documentary'],9.8,['Charles Burns'],['Andi Reiss'],Silhouette Secrets Documentary Andi Reiss Charles Burns
tt4130224,movie,Romeo + Julia,2014,135.0,['Drama'],9.8,"['Sebastian Bischoff', 'Navid Navid', 'Urs Stämpfli']","['Norbert Kentrup', 'Navid Navid']",Romeo + Julia Drama Norbert Kentrup Navid Navid Sebastian Bischoff Navid Navid Urs Stämpfli
tt20768698,movie,Pelas estradas do teatro levando cidadania,2014,69.0,['Documentary'],9.8,"['Danillo Bethon', 'Raphael Bueno', 'Eduardo Chagas', 'Walmir S', 'Régis Santos']",['Uilson França'],Pelas estradas do teatro levando cidadania Documentary Uilson França Danillo Bethon Raphael Bueno Eduardo Chagas Walmir S Régis Santos
tt0332090,movie,Gottzfart,1994,,[],9.8,['Hanspeter Müller'],['Mike Huber'],Gottzfart  Mike Huber Hanspeter Müller
tt2648188,movie,The Influence,2013,109.0,"['Drama', 'Family', 'Music']",9.8,['Raja Majid'],['Dilnawaz Muntazir'],The Influence Drama Family Music Dilnawaz Muntazir Raja Majid
tt11219324,movie,Ending is the Beginning: The Mitch Lucker Memorial Show,2014,84.0,['Music'],9.8,['Aubin A. Sadiki'],['Jerry Clubb'],Ending is the Beginning: The Mitch Lucker Memorial Show Music Jerry Clubb Aubin A. Sadiki
tt2133343,movie,The Last Phone Booth,2011,90.0,['Documentary'],9.8,"['Kevin Lucero Less', 'Paul Jennsen']",['Kirein Doobs'],The Last Phone Booth Documentary Kirein Doobs Kevin Lucero Less Paul Jennsen
tt5190946,movie,Midnight Mayhem,2015,,"['Action', 'Comedy']",9.8,"['Solomon Brende', 'Daniel Ilabaca', 'Oren Michaeli', 'William R. Spencer', 'Alex Van Duong', 'Josh Yadon']","['Mark D. Spencer', 'William R. Spencer']",Midnight Mayhem Action Comedy Mark D. Spencer William R. Spencer Solomon Brende Daniel Ilabaca Oren Michaeli William R. Spencer Alex Van Duong Josh Yadon
tt11554586,movie,Bedhadak,2006,170.0,['Drama'],9.8,"['Uttar Kumar', 'Dev Sharma', 'Dharamveer Singh']",['Dinesh Chaudhary'],Bedhadak Drama Dinesh Chaudhary Uttar Kumar Dev Sharma Dharamveer Singh
tt5206478,movie,Loving Carmen,2016,66.0,"['Biography', 'Documentary', 'History']",9.8,"['Aris Argiris', 'Ben Cross', 'Ladislav Elgr']",['Nayo Titzin'],Loving Carmen Biography Documentary History Nayo Titzin Aris Argiris Ben Cross Ladislav Elgr
tt0128058,movie,Au-delà de 120 ans avec Jeanne Calment,1995,,['Documentary'],9.8,,,Au-delà de 120 ans avec Jeanne Calment Documentary  
tt5997788,movie,Riyasat Mein Riyasat,2016,,['Drama'],9.8,"['Rashid Farooqi', 'Saleem Mairaj', 'Munawar Saeed', 'Tipu']",['Asad Malik'],Riyasat Mein Riyasat Drama Asad Malik Rashid Farooqi Saleem Mairaj Munawar Saeed Tipu
tt4339104,movie,A Lifetime Poem,2015,94.0,"['Biography', 'Documentary', 'Drama']",9.8,[],['Shiwei Kang'],A Lifetime Poem Biography Documentary Drama Shiwei Kang 
tt8387050,movie,O Lar,2008,71.0,['Documentary'],9.8,[],['António Borges Correia'],O Lar Documentary António Borges Correia 
tt0173749,movie,Csonka Bereg,1989,152.0,['Documentary'],9.8,[],['Sándor Sára'],Csonka Bereg Documentary Sándor Sára 
tt2920346,movie,A Place to Call His Own,2013,55.0,['Documentary'],9.8,[],['Mike Krumlauf'],A Place to Call His Own Documentary Mike Krumlauf 
tt3022498,movie,Kamarati,2011,,['Documentary'],9.8,[],['Mladen Medic'],Kamarati Documentary Mladen Medic 
tt3645580,movie,The Inventurers,2012,93.0,"['Adventure', 'Comedy', 'Drama']",9.8,"['Matt Coyde', 'Alex Frow', 'Peter Frow', 'Josephine James', 'Glen Sherrington', 'John Sherrington', 'John Sherrington']",['Peter Frow'],The Inventurers Adventure Comedy Drama Peter Frow Matt Coyde Alex Frow Peter Frow Josephine James Glen Sherrington John Sherrington John Sherrington
tt2385143,movie,McTaggart's Fortune,2014,,['Adventure'],9.8,"['Gary Ambrosia', 'Daniel Bridges', 'Parker Stevenson', 'Willard E. Pugh', 'Alex Rouse', 'Josh Gogarty', 'Josh Gogarty', 'Peter Leake']",['Gary Ambrosia'],McTaggart's Fortune Adventure Gary Ambrosia Gary Ambrosia Daniel Bridges Parker Stevenson Willard E. Pugh Alex Rouse Josh Gogarty Josh Gogarty Peter Leake
